VDOT,1500m,1 mile,3k,2 mile,5k,10k,Half-Marathon,Marathon,EP mile,MP mile,T mile,I 400,I 1000,I 1200,I mile,R 200,R 400,R 800
30,8:30,9:11,17:56,19:19,30:40,63:46,2:21:04,4:49:17,12:16,11:02,10:16,2:22,—,—,—,67,2:16,—
32,8:02,8:41,16:59,18:18,29:05,60:26,2:13:49,4:34:59,11:41,10:29,9:47,2:14,—,—,—,63,2:08,—
34,7:37,8:14,16:09,17:24,27:39,57:26,2:07:16,4:22:03,11:09,10:00,9:20,2:08,—,—,—,60,2:02,—
36,7:14,7:49,15:23,16:34,26:22,54:44,2:01:19,4:10:19,10:40,9:33,8:55,2:02,5:07,—,—,57,1:55,—
38,6:54,7:27,14:41,15:49,25:12,52:17,1:55:55,3:59:35,10:14,9:08,6:33,1:56,4:54,—,—,54,1:50,—
40,6:35,7:07,14:03,15:08,24:08,50:03,1:50:59,3:49:45,9:50,8:46,8:12,1:52,4:42,—,—,52,1:46,—
42,6:19,6:49,13:28,14:31,23:09,48:01,1:46:27,3:40:43,9:28,8:25,7:52,1:48,4:31,—,—,50,1:42,—
44,6:03,6:32,12:55,13:56,22:15,46:09,1:42:17,3:32:23,9:07,8:06,7:33,1:44,4:21,—,—,48,98,—
45,5:56,6:25,12:40,13:40,21:50,45:16,1:40:20,3:28:26,6:58,7:57,7:25,1:42,4:16,—,—,47,96,—
46,5:49,6:17,12:26,13:25,21:25,44:25,1:38:27,3:24:39,8:48,7:48,7:17,1:40,4:12,5:00,—,46,94,—
47,5:43,6:10,12:12,13:10,21:02,43:36,1:36:38,3:21:00,8:39,7:40,7:10,98,4:07,4:54,—,45,92,—
48,5:36,6:03,11:58,12:55,20:39,42:50,1:34:53,3:17:29,8:31,7:32,7:02,96,4:03,4:49,—,44,90,2:59
49,5:30,5:56,11:45,12:41,20:18,42:04,1:33:12,3:14:06,8:22,7:24,6:55,95,3:59,4:45,—,44,89,2:58
50,5:26,5:50,11:33,12:28,19:57,41:21,1:31:35,3:10:49,8:14,7:17,6:51,93,3:55,4:41,6:12,43,87,2:54
51,5:18,5:44,11:21,12:15,19:36,40:39,1:30:02,3:07:39,8:07,7:09,6:44,92,3:51,4:36,6:08,42,86,2:52
52,5:13,5:38,11:09,12:02,19:17,39:59,1:28:31,3:04:36,7:59,7:02,6:36,91,3:48,4:33,6:04,42,85,2:50
53,5:07,5:32,10:58,11:50,18:58,39:20,1:27:04,3:01:39,7:52,6:56,6:32,90,3:44,4:29,6:00,41,84,2:48
54,5:02,5:27,10:47,11:39,18:40,38:42,1:25:40,2:58:47,7:45,6:49,6:26,88,3:41,4:25,5:52,40,82,2:44
55,4:57,5:21,10:37,11:28,18:22,38:06,1:24:18,2:56:01,7:38,6:43,6:20,87,3:37,4:21,5:48,40,81,2:42
56,4:53,5:16,10:27,11:17,18:05,37:31,1:23:00,2:53:20,7:31,6:37,6:15,86,3:34,4:18,5:44,39,80,2:40
57,4:48,5:11,10:17,11:06,17:49,37:07,1:21:43,2:50:45,7:25,6:31,6:09,85,3:31,4:15,5:40,39,79,2:38
58,4:44,5:06,10:08,10:56,17:33,36:24,1:20:30,2:48:14,7:19,6:25,6:04,83,3:28,4:10,5:32,38,77,2:34
59,4:39,5:02,9:58,10:46,17:17,35:52,1:19:18,2:45:47,7:13,6:19,5:59,82,3:25,4:07,5:28,37,76,2:32
60,4:35,4:57,9:50,10:37,17:03,35:22,1:18:09,2:43:25,7:07,6:14,5:54,81,3:23,4:03,5:24,37,75,2:30
61,4:31,4:53,9:41,10:27,16:48,34:52,1:17:02,2:41:08,7:01,6:09,5:50,80,3:20,4:00,5:20,36,74,2:28
62,4:27,4:49,9:33,10:18,16:34,34:21,1:15:57,2:38:54,6:56,6:04,5:45,79,3:17,3:57,5:16,36,73,2:26
63,4:24,4:45,9:25,10:10,16:20,33:55,1:14:54,2:36:44,6:50,5:59,5:41,78,3:15,3:54,5:12,35,72,2:24
64,4:20,4:41,9:17,10:01,16:07,33:28,1:13:53,2:34:38,6:45,5:54,5:36,77,3:12,3:51,5:08,35,71,2:22
65,4:16,4:37,9:09,9:53,15:54,33:01,1:12:53,2:32:35,6:40,5:49,5:32,76,3:10,3:48,5:04,34,70,2:20
66,4:13,4:33,9:02,9:45,15:42,32:35,1:11:56,2:30:36,6:53,5:45,5:28,75,3:06,3:45,5:00,34,69,2:18
67,4:10,4:30,8:55,9:37,15:29,32:11,1:11:00,2:28:40,6:30,5:40,5:24,74,3:05,3:42,4:57,33,68,2:16
68,4:06,4:26,8:48,9:30,15:18,31:46,1:10:05,2:26:47,6:26,5:36,5:20,73,3:03,3:39,4:53,33,67,2:14
69,4:03,4:23,8:41,9:23,15:06,31:23,1:09:12,2:24:57,6:21,5:32,5:16,72,3:01,3:36,4:50,32,66,2:12
70,4:00,4:19,8:34,9:16,14:55,31:00,1:08:21,2:23:10,6:17,5:28,5:13,71,2:59,3:34,4:46,32,65,2:10
71,3:57,4:16,8:28,9:09,14:44,30:38,1:07:31,2:21:26,6:12,5:24,5:09,70,2:57,3:31,4:43,31,64,2:08
72,3:54,4:13,8:22,9:02,14:33,30:16,1:06:42,2:19:44,6:08,5:20,5:05,69,2:55,3:29,4:40,31,63,2:06
73,3:52,4:10,8:16,8:55,14:23,29:55,1:05:54,2:18:05,6:04,5:16,5:02,69,2:53,3:27,4:37,31,62,2:05
74,3:49,4:07,8:10,8:49,14:13,29:34,1:05:08,2:16:29,6:00,5:12,4:59,68,2 51,3:25,4:34,30,62,2:04
75,3:46,4:04,8:04,8:43,14:03,29:14,1:04:23,2:14:55,5:56,5:09,4:56,67,2:49,3:22,4:31,30,61,2:03
76,3:44,4:02,7:58,8:37,13:54,28:55,1:03:39,2:13:23,5:52,5:05,4:52,66,2:48,3:20,4:28,29,60,2:02
77,3:41,3:58,7:53,8:31,13:44,28:36,1:02:56,2:11:54,5:48,5:01,4:49,65,2:46,3:18,4:25,29,59,2:00
78,3:38,3:56,7:48,8:25,13:35,28:17,1:02:15,2:10:27,5:45,4:58,4:46,65,2:44,3:16,4:23,29,59,1:59
79,3:36,3:53,7:43,8:20,13:26,27:59,1:01:34,2:09:02,5:41,4:55,4:43,64,2:42,3:14,4:20,28,58,1:58
80,3:34,3:51,7:37,8:14,13:17,27:41,1:00:54,2:07:38,5:38,4:52,4:41,64,2:41,3:12,4:17,28,58,1:56
81,3:31,3:48,7:32,8:08,13:09,27:24,1:00:15,2:06:17,5:34,4:49,4:36,63,2:39,3:10,4:15,28,57,1:55
82,3:29,3:46,7:27,8:03,13:01,27:07,59:38,2:04:57,5:31,4:46,4:35,62,2:38,3:08,4:12,27,56,1:54
83,3:27,3:44,7:23,7:58,12:53,26:51,59:01,2:03:40,5:28,4:43,4:32,62,2:36,3:07,4:10,27,56,1:53
84,3:25,3:41,7:18,7:53,12:45,26:34,58:25,2:02:24,5:25,4:40,4:30,61,2:35,3:05,4:08,27,55,1:52
85,3:23,3:39,7:14,7:48,12:37,26:19,57:50,2:01:10,5:21,4:37,4:27,61,2:33,3:03,4:05,27,55,1:51
